From	To
P14618	PKM
P14625	HSP90B1
P14678	SNRPB
P14735	IDE
P14866	HNRNPL
P14868	DARS1
P14923	JUP
P14927	UQCRB
P15121	AKR1B1
P15170	GSPT1
P15311	EZR
P15374	UCHL3
P15531	NME1
P15559	NQO1
P15880	RPS2
P15927	RPA2
P15954	COX7C
P16083	NQO2
P16152	CBR1
P16401	H1-5
P16402	H1-3
P16403	H1-2
P16435	POR
P16615	ATP2A2
P16949	STMN1
P16989	YBX3
P17096	HMGA1
P17174	GOT1
P17812	CTPS1
P17844	DDX5
P17858	PFKL
P17980	PSMC3
P17987	TCP1
P18031	PTPN1
P18077	RPL35A
P18085	ARF4
P18124	RPL7
P18206	VCL
P18621	RPL17
P18669	PGAM1
P19338	NCL
P19367	HK1
P19387	POLR2C
P19525	EIF2AK2
P19623	SRM
P20042	EIF2S2
P20073	ANXA7
P20290	BTF3
P20340	RAB6A
P20618	PSMB1
P20645	M6PR
P20674	COX5A
P20700	LMNB1
P20962	PTMS
P21281	ATP6V1B2
P21283	ATP6V1C1
P21291	CSRP1
P21333	FLNA
P21399	ACO1
P21796	VDAC1
P22059	OSBP
P22061	PCMT1
P22087	FBL
P22102	GART
P22234	PAICS
P22307	SCP2
P22314	UBA1
P22392	NME2
P22626	HNRNPA2B1
P22695	UQCRC2
P23193	TCEA1
P23246	SFPQ
P23284	PPIB
P23368	ME2
P23381	WARS1
P23396	RPS3
P23526	AHCY
P23528	CFL1
P23588	EIF4B
P23919	DTYMK
P23921	RRM1
P24534	EEF1B2
P24539	ATP5PB
P24666	ACP1
P24752	ACAT1
P24928	POLR2A
P25205	MCM3
P25398	RPS12
P25705	ATP5F1A
P25786	PSMA1
P25787	PSMA2
P25788	PSMA3
P25789	PSMA4
P26038	MSN
P26196	DDX6
P26358	DNMT1
P26368	U2AF2
P26373	RPL13
P26583	HMGB2
P26599	PTBP1
P26639	TARS1
P26640	VARS1
P26641	EEF1G
P26885	FKBP2
P27348	YWHAQ
P27635	RPL10
P27694	RPA1
P27695	APEX1
P27708	CAD
P27797	CALR
P27816	MAP4
P27824	CANX
P28066	PSMA5
P28070	PSMB4
P28072	PSMB6
P28074	PSMB5
P28331	NDUFS1
P28340	POLD1
P28838	LAP3
P29144	TPP2
P29373	CRABP2
P29401	TKT
P29692	EEF1D
P29762	CRABP1
P29966	MARCKS
P30040	ERP29
P30041	PRDX6
P30043	BLVRB
P30044	PRDX5
