From	To
Q9HAV7	GRPEL1
Q9HB07	MYG1
Q9HB71	CACYBP
Q9HC35	EML4
Q9HC38	GLOD4
Q9NP79	VTA1
Q9NPA8	ENY2
Q9NPJ3	ACOT13
Q9NQ29	LUC7L
Q9NQ50	MRPL40
Q9NQ88	TIGAR
Q9NQC3	RTN4
Q9NQP4	PFDN4
Q9NQT5	EXOSC3
Q9NQW7	XPNPEP1
Q9NR30	DDX21
Q9NR31	SAR1A
Q9NR45	NANS
Q9NRV9	HEBP1
Q9NRX1	PNO1
Q9NRX2	MRPL17
Q9NRZ9	HELLS
Q9NSD9	FARSB
Q9NSE4	IARS2
Q9NTI5	PDS5B
Q9NTK5	OLA1
Q9NTZ6	RBM12
Q9NU22	MDN1
Q9NUJ1	ABHD10
Q9NUQ9	CYRIB
Q9NV35	NUDT15
Q9NVP1	DDX18
Q9NWV4	CZIB
Q9NX14	NDUFB11
Q9NX24	NHP2
Q9NX55	HYPK
Q9NX58	LYAR
Q9NX63	CHCHD3
Q9NXG2	THUMPD1
Q9NXH9	TRMT1
Q9NY33	DPP3
Q9NYF8	BCLAF1
Q9NYJ1	COA4
Q9NYK5	MRPL39
Q9NYU2	UGGT1
Q9NZ01	TECR
Q9NZI8	IGF2BP1
Q9NZL4	HSPBP1
Q9NZL9	MAT2B
Q9P032	NDUFAF4
Q9P035	HACD3
Q9P0J0	NDUFA13
Q9P0L0	VAPA
Q9P1F3	ABRACL
Q9P258	RCC2
Q9P287	BCCIP
Q9P289	STK26
Q9P2E9	RRBP1
Q9P2J5	LARS1
Q9P2R7	SUCLA2
Q9UBC3	DNMT3B
Q9UBE0	SAE1
Q9UBF2	COPG2
Q9UBM7	DHCR7
Q9UBQ0	VPS29
Q9UBQ5	EIF3K
Q9UBQ7	GRHPR
Q9UBS4	DNAJB11
Q9UBT2	UBA2
Q9UDR5	AASS
Q9UDW1	UQCR10
Q9UDY2	TJP2
Q9UGP8	SEC63
Q9UHB9	SRP68
Q9UHD1	CHORDC1
Q9UHD8	SEPTIN9
Q9UHD9	UBQLN2
Q9UHG3	PCYOX1
Q9UHV9	PFDN2
Q9UHX1	PUF60
Q9UHY7	ENOPH1
Q9UIA9	XPO7
Q9UIQ6	LNPEP
Q9UJ70	NAGK
Q9UJA5	TRMT6
Q9UJZ1	STOML2
Q9UK76	JPT1
Q9UKD2	MRTO4
Q9UKK9	NUDT5
Q9UKM9	RALY
Q9UKV3	ACIN1
Q9UKX7	NUP50
Q9UKY7	CDV3
Q9UL46	PSME2
Q9ULV4	CORO1C
Q9ULW0	TPX2
Q9UMR2	DDX19B
Q9UMS4	PRPF19
Q9UMX0	UBQLN1
Q9UN37	VPS4A
Q9UN86	G3BP2
Q9UNL2	SSR3
Q9UNM6	PSMD13
Q9UNQ2	DIMT1
Q9UNS2	COPS3
Q9UNZ2	NSFL1C
Q9UQ35	SRRM2
Q9UQ80	PA2G4
Q9UQE7	SMC3
Q9Y224	RTRAF
Q9Y230	RUVBL2
Q9Y241	HIGD1A
Q9Y262	EIF3L
Q9Y265	RUVBL1
Q9Y266	NUDC
Q9Y277	VDAC3
Q9Y285	FARSA
Q9Y295	DRG1
Q9Y2B0	CNPY2
Q9Y2L1	DIS3
Q9Y2R9	MRPS7
Q9Y2T2	AP3M1
Q9Y2V2	CARHSP1
Q9Y2W1	THRAP3
Q9Y2X3	NOP58
Q9Y2Z0	SUGT1
Q9Y2Z4	YARS2
Q9Y383	LUC7L2
Q9Y3A5	SBDS
Q9Y3B3	TMED7
Q9Y3B4	SF3B6
Q9Y3B9	RRP15
Q9Y3C8	UFC1
Q9Y3D6	FIS1
Q9Y3D9	MRPS23
Q9Y3F4	STRAP
Q9Y3I0	RTCB
Q9Y3T9	NOC2L
Q9Y3U8	RPL36
Q9Y450	HBS1L
Q9Y478	PRKAB1
Q9Y490	TLN1
Q9Y4L1	HYOU1
Q9Y4W6	AFG3L2
Q9Y512	SAMM50
Q9Y570	PPME1
Q9Y5A9	YTHDF2
Q9Y5B9	SUPT16H
Q9Y5J9	TIMM8B
Q9Y5L0	TNPO3
Q9Y5L4	TIMM13
Q9Y5M8	SRPRB
Q9Y5S9	RBM8A
Q9Y617	PSAT1
Q9Y624	F11R
Q9Y639	NPTN
Q9Y678	COPG1
Q9Y696	CLIC4
Q9Y6A9	SPCS1
Q9Y6G9	DYNC1LI1
